"","X","State","State_name","County","County_name","Tract","Block_Group","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12"
"138",426,31,"Nebraska",55,"Douglas County",5300,2,621,340,281,304,59,24,211
"139",427,31,"Nebraska",55,"Douglas County",5300,3,555,273,282,327,10,25,110
"140",428,31,"Nebraska",55,"Douglas County",5400,1,1125,596,529,440,114,55,512
"141",429,31,"Nebraska",55,"Douglas County",5400,2,914,410,504,567,136,128,134
"142",430,31,"Nebraska",55,"Douglas County",5400,3,720,430,290,511,68,12,174
"143",431,31,"Nebraska",55,"Douglas County",5400,4,460,246,214,361,34,124,37
"144",432,31,"Nebraska",55,"Douglas County",5500,1,1000,416,584,749,124,348,385
"145",433,31,"Nebraska",55,"Douglas County",5500,2,814,381,433,517,0,311,0
"146",434,31,"Nebraska",55,"Douglas County",5500,3,848,392,456,645,0,335,0
"147",435,31,"Nebraska",55,"Douglas County",5500,4,413,184,229,403,30,264,54
"148",436,31,"Nebraska",55,"Douglas County",5500,5,1023,544,479,730,34,468,15
"149",437,31,"Nebraska",55,"Douglas County",5500,6,991,459,532,730,1,388,57
"150",438,31,"Nebraska",55,"Douglas County",5600,1,1346,831,515,915,75,128,36
"151",439,31,"Nebraska",55,"Douglas County",5600,2,953,411,542,582,40,121,143
"152",440,31,"Nebraska",55,"Douglas County",5600,3,757,406,351,537,55,96,62
"153",441,31,"Nebraska",55,"Douglas County",5600,4,822,386,436,529,58,115,168
"154",442,31,"Nebraska",55,"Douglas County",5600,5,959,542,417,666,200,95,86
"155",443,31,"Nebraska",55,"Douglas County",5700,1,1366,745,621,786,72,179,230
"156",444,31,"Nebraska",55,"Douglas County",5700,2,510,253,257,295,17,30,202
"157",445,31,"Nebraska",55,"Douglas County",5700,3,937,419,518,626,22,106,349
"158",446,31,"Nebraska",55,"Douglas County",5700,4,617,266,351,461,31,69,0
"159",447,31,"Nebraska",55,"Douglas County",5700,5,784,359,425,564,27,163,143
"160",448,31,"Nebraska",55,"Douglas County",5800,1,284,112,172,202,0,14,117
"161",449,31,"Nebraska",55,"Douglas County",5800,2,499,215,284,390,54,43,19
"162",450,31,"Nebraska",55,"Douglas County",5800,3,847,456,391,564,116,154,59
"163",451,31,"Nebraska",55,"Douglas County",5800,4,831,439,392,530,139,88,276
"164",452,31,"Nebraska",55,"Douglas County",5800,5,586,347,239,348,0,121,67
"165",453,31,"Nebraska",55,"Douglas County",5800,6,940,411,529,516,80,140,201
"166",454,31,"Nebraska",55,"Douglas County",5901,1,1060,542,518,630,174,77,448
"167",455,31,"Nebraska",55,"Douglas County",5901,2,762,272,490,425,30,71,115
"168",456,31,"Nebraska",55,"Douglas County",5901,3,392,194,198,344,57,21,114
"169",457,31,"Nebraska",55,"Douglas County",5902,1,829,378,451,579,124,55,307
"170",458,31,"Nebraska",55,"Douglas County",5902,2,1121,531,590,559,143,0,631
"171",459,31,"Nebraska",55,"Douglas County",6000,1,566,285,281,271,98,40,420
"172",460,31,"Nebraska",55,"Douglas County",6000,2,627,273,354,338,86,18,156
"173",461,31,"Nebraska",55,"Douglas County",6000,3,810,412,398,493,68,43,254
"174",462,31,"Nebraska",55,"Douglas County",6000,4,1061,662,399,698,71,119,248
"175",463,31,"Nebraska",55,"Douglas County",6000,5,944,433,511,571,72,21,202
"176",464,31,"Nebraska",55,"Douglas County",6101,1,724,263,461,387,51,39,228
"177",465,31,"Nebraska",55,"Douglas County",6101,2,679,422,257,317,69,13,125
"178",466,31,"Nebraska",55,"Douglas County",6101,3,644,287,357,378,107,37,333
"179",467,31,"Nebraska",55,"Douglas County",6102,1,837,346,491,614,78,110,220
"180",468,31,"Nebraska",55,"Douglas County",6102,2,1080,572,508,522,71,48,397
"181",469,31,"Nebraska",55,"Douglas County",6102,3,738,312,426,441,36,29,286
"182",470,31,"Nebraska",55,"Douglas County",6102,4,1013,498,515,516,29,9,720
